title,source,url,state,category,country,status
NGO Foundation 0,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 1,Generated Dataset,,maharashtra,environment,india,active
NGO Foundation 2,Generated Dataset,,delhi,education,india,active
NGO Foundation 3,Generated Dataset,,delhi,environment,india,active
NGO Foundation 4,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 5,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 6,Generated Dataset,,karnataka,food,india,active
NGO Foundation 7,Generated Dataset,,karnataka,women,india,active
NGO Foundation 8,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 9,Generated Dataset,,uttar pradesh,social,india,active
NGO Foundation 10,Generated Dataset,,karnataka,health,india,active
NGO Foundation 11,Generated Dataset,,delhi,social,india,active
NGO Foundation 12,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 13,Generated Dataset,,karnataka,social,india,active
NGO Foundation 14,Generated Dataset,,delhi,food,india,active
NGO Foundation 15,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 16,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 17,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 18,Generated Dataset,,karnataka,women,india,active
NGO Foundation 19,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 20,Generated Dataset,,uttar pradesh,food,india,active
NGO Foundation 21,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 22,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 23,Generated Dataset,,tamil nadu,environment,india,active
NGO Foundation 24,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 25,Generated Dataset,,uttar pradesh,environment,india,active
NGO Foundation 26,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 27,Generated Dataset,,uttar pradesh,education,india,active
NGO Foundation 28,Generated Dataset,,maharashtra,education,india,active
NGO Foundation 29,Generated Dataset,,karnataka,food,india,active
NGO Foundation 30,Generated Dataset,,uttar pradesh,women,india,active
NGO Foundation 31,Generated Dataset,,karnataka,education,india,active
NGO Foundation 32,Generated Dataset,,delhi,food,india,active
NGO Foundation 33,Generated Dataset,,uttar pradesh,health,india,active
NGO Foundation 34,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 35,Generated Dataset,,tamil nadu,health,india,active
NGO Foundation 36,Generated Dataset,,maharashtra,food,india,active
NGO Foundation 37,Generated Dataset,,karnataka,education,india,active
NGO Foundation 38,Generated Dataset,,tamil nadu,education,india,active
NGO Foundation 39,Generated Dataset,,maharashtra,women,india,active
NGO Foundation 40,Generated Dataset,,karnataka,environment,india,active
NGO Foundation 41,Generated Dataset,,tamil nadu,women,india,active
NGO Foundation 42,Generated Dataset,,maharashtra,health,india,active
NGO Foundation 43,Generated Dataset,,tamil nadu,social,india,active
NGO Foundation 44,Generated Dataset,,maharashtra,women,india,active
